,ANXIOUSNESS,0
162,0.0,13.311582
163,1.25,13.944295
164,0.75,12.615555
165,0.75,14.34826
166,0.5,13.989299
167,0.75,13.91354
168,2.75,17.233568
169,1.75,16.51733
170,0.0,15.036304
171,0.75,12.810874
172,1.0,13.209687
173,0.0,12.96716
174,1.5,15.016858
175,0.0,9.674958
176,0.0,13.980459
177,0.0,11.848509
178,1.25,18.24847
179,1.5,14.191573
180,0.25,14.589117
181,0.75,16.756174
182,0.75,11.989395
183,1.25,19.042192
184,0.0,9.41349
185,0.0,11.851276
186,0.5,12.064914
187,2.75,19.53908
188,0.25,12.674921
189,0.5,15.17795
190,0.25,13.144685
191,0.25,9.675737
192,3.0,17.364029
193,0.75,13.887605
194,0.0,9.913525
195,2.0,17.938107
196,1.75,17.30943
197,0.0,9.710327
198,0.25,11.638262
199,0.5,14.110758
200,2.75,17.435165
201,1.0,10.405476
202,0.75,15.53997
203,0.75,13.358098
204,2.0,17.613806
205,0.0,11.300579
206,1.0,14.191424
207,0.75,13.434743
208,0.5,12.776405
209,0.0,11.970264
210,1.0,12.148087
211,2.25,15.00331
212,0.75,16.020546
213,1.75,15.567005
214,1.0,13.382938
215,1.0,14.677284
216,0.75,10.795578
217,1.0,13.570322
218,2.75,17.225704
219,2.5,15.656402
220,2.0,15.819161
221,0.0,10.082752
222,0.25,13.789976
223,2.25,15.736198
224,0.0,13.531458
225,1.0,10.906234
226,1.25,14.724084
227,2.0,10.192005
228,0.75,14.200936
229,1.0,11.284329
230,2.0,16.24829
231,1.25,10.735314
232,0.25,7.9495254
233,2.5,14.947807
234,0.25,13.816516
235,1.0,14.411341
236,1.0,13.836292
237,1.5,15.762262
238,1.25,14.6990795
239,0.5,13.716078
240,2.25,17.315031
241,0.0,12.665531
242,0.75,11.979431
243,0.0,11.515026
244,0.0,14.455386
245,1.25,15.24964
246,0.0,8.538025
247,1.0,10.808258
248,0.5,12.616137
249,1.5,13.824899
250,2.0,15.867655
251,1.75,15.892633
252,1.25,14.403386
253,2.5,14.994415
254,0.25,11.7982645
255,0.5,13.437691
256,0.5,15.163928
257,1.25,11.8958
258,0.75,16.854496
259,2.75,18.919693
260,0.75,14.858467
261,0.0,11.424227
262,1.5,15.487791
263,2.5,16.343355
264,0.25,14.538663
265,2.25,15.733589
266,2.5,14.346179
267,2.5,14.633247
268,2.25,16.566755
269,0.5,12.500186
270,0.25,13.029831
271,1.5,17.066214
272,0.25,11.555993
273,1.25,10.471076
274,0.75,14.169098
275,1.75,15.62718
276,0.75,16.600199
277,0.0,11.085662
278,2.75,18.622105
279,1.5,15.999174
280,1.0,16.875055
281,1.0,12.200309
282,1.5,13.949343
283,0.25,10.250164
284,0.0,9.995319
285,0.0,10.00807
286,0.75,9.451499
287,0.0,12.536383
288,1.75,14.344848
289,1.25,15.384546
290,1.5,13.934538
291,1.0,15.876861
292,0.0,10.080633
293,0.25,9.109112
294,1.5,17.4226
295,0.0,11.91779
296,0.5,12.870821
297,2.0,17.646942
298,0.0,11.135158
299,2.0,13.030242
300,1.75,13.204777
301,1.5,14.749094
302,3.0,19.081692
303,1.25,14.873268
304,0.5,13.095641
305,0.75,13.954867
306,1.5,14.670628
307,0.0,13.982535
308,0.0,11.602146
309,2.0,14.452719
310,0.5,10.672443
311,2.0,16.930721
312,0.25,13.01855
313,0.75,12.222002
314,0.5,9.251957
315,1.25,14.506049
316,2.5,17.757128
317,0.75,13.879953
318,0.25,11.7567005
319,2.25,16.398796
320,0.25,12.669969
321,0.5,11.957471
322,0.75,17.159893
323,0.5,12.055269
324,2.0,17.795105
325,0.25,11.899085
326,0.0,10.9594755
327,0.75,15.484175
328,2.25,17.938137
329,2.75,14.447406
330,2.75,17.54938
331,2.5,16.53437
332,0.0,10.449698
333,0.75,12.938508
334,2.25,15.1976595
335,2.0,15.002554
336,1.75,14.180488
337,2.0,14.046534
338,0.75,13.101678
339,1.75,11.67148
340,0.5,12.807907
341,0.25,11.571751
342,3.0,20.390675
343,2.0,11.775099
344,1.5,16.372763
345,1.75,13.140702
346,0.0,10.704014
347,2.25,15.303186
348,0.0,10.182941
349,0.25,10.731186
350,0.5,12.810003
351,0.75,14.8971405
352,0.75,12.6959
353,0.0,9.88628
354,1.75,13.8032675
355,1.5,15.100882
356,1.25,13.08131
357,0.0,10.672973
358,2.25,15.32727
359,0.0,11.723538
360,0.25,11.370768
361,1.0,13.746713
362,0.75,10.854324
363,2.0,17.504423
364,1.25,12.819071
365,3.0,15.467128
366,0.5,11.473388
367,0.5,10.888009
368,1.5,16.684614
369,0.5,13.170322
370,0.5,13.866012
371,0.0,12.0294
372,1.25,13.362535
373,0.5,12.895817
374,0.0,13.9953
375,1.0,13.8112135
376,0.5,13.074707
377,0.0,9.739222
378,0.75,13.980677
379,1.5,14.974116
380,0.0,9.593954
381,1.5,15.856864
382,2.0,15.3251505
383,0.5,12.698521
384,2.0,14.964983
385,0.5,12.544223
386,1.75,15.932054
387,2.25,17.711422
388,0.75,14.051301
389,2.5,15.120465
390,0.75,11.701179
391,3.0,18.548082
392,0.0,11.352746
393,0.0,12.144479
394,0.0,11.933023
395,0.75,14.783844
396,1.75,17.445107
397,2.25,13.839001
398,2.0,11.95166
399,1.0,13.363518
400,0.0,14.2832575
401,1.0,13.838149
402,2.0,20.291222
403,2.5,14.800204
404,1.5,14.107622
405,0.25,12.103128
406,0.75,14.012987
407,0.0,15.266094
408,0.5,13.865678
409,2.0,14.4244995
410,0.25,10.657398
411,0.75,12.459428
412,0.0,11.307461
413,1.75,14.538626
414,0.75,12.277183
415,0.0,13.070632
