,HOPE,0
278,5.5,18.33745
279,5.0,19.819477
280,5.17,22.55503
281,4.33,20.482872
282,4.83,20.93842
283,5.33,22.419632
284,4.0,18.935162
285,5.33,21.456303
286,5.0,21.029827
287,6.0,22.209322
288,4.33,17.497269
289,3.33,14.948646
290,3.5,19.496422
291,5.17,18.316448
292,2.33,14.679155
293,4.67,15.765401
294,4.83,19.593096
295,4.67,22.781796
296,6.0,25.062178
297,6.0,18.484034
298,3.67,16.10034
299,4.83,18.711151
300,5.5,19.951565
301,1.83,12.349955
302,4.83,21.639732
303,3.0,19.493137
304,4.83,19.443808
305,4.0,15.509989
306,4.83,21.192396
307,3.67,15.32931
308,4.33,18.893974
309,6.0,18.625011
310,3.33,17.582653
311,4.17,22.262344
312,4.33,19.205223
313,3.67,17.056091
314,4.67,19.136822
315,4.67,22.21507
316,6.0,19.286156
317,4.33,15.544768
318,5.0,20.344097
319,6.0,24.956266
320,5.67,19.303549
321,4.83,20.403687
322,3.67,23.117702
323,5.17,24.05683
324,4.17,18.558712
325,5.67,20.499453
326,4.83,21.374271
327,4.0,16.945179
328,4.67,15.255802
329,4.5,18.422678
330,3.0,18.472713
331,5.17,22.005575
332,4.83,24.5766
333,5.5,19.510452
334,4.67,23.102262
335,3.33,15.923278
336,4.83,17.713089
337,4.0,22.125832
338,3.83,21.759974
339,4.83,19.849007
340,5.67,21.992636
341,5.0,19.071375
342,5.17,21.861559
343,3.67,18.379196
344,4.17,19.466982
345,4.0,17.606316
346,7.0,22.897646
347,5.5,19.241302
348,5.0,18.647484
349,2.67,18.84481
350,4.67,19.97662
351,5.17,19.010056
352,4.83,14.187724
353,3.0,17.487154
354,6.0,25.038025
355,6.0,23.759232
356,4.33,20.098907
357,5.83,19.879795
358,2.5,18.821861
359,4.17,18.746443
360,4.17,21.511326
361,4.83,19.999115
362,4.67,18.264877
363,4.83,21.783827
364,3.83,19.788061
365,6.0,19.85393
366,4.33,23.725866
367,5.0,25.147419
368,3.83,12.79815
369,6.5,27.329046
370,5.17,22.547379
371,5.5,22.21797
372,5.17,19.957802
373,5.33,20.766788
374,4.67,19.65147
375,4.5,23.179016
376,4.5,19.896366
377,5.33,22.39982
378,6.0,25.645533
379,5.33,21.119328
380,5.33,27.65937
381,5.17,17.999296
382,3.33,21.238094
383,5.67,21.055317
384,4.83,22.306717
385,6.0,24.294683
386,3.83,21.00994
387,5.17,22.579031
388,3.67,21.637638
389,6.0,21.585663
390,3.83,19.852377
391,4.33,21.232857
392,4.5,20.811132
393,5.33,21.700008
394,5.0,21.055256
395,4.83,19.355772
396,6.0,24.903656
397,3.83,18.408623
398,5.67,18.011139
399,3.67,18.859077
400,4.83,22.880756
401,3.83,18.88628
402,2.5,18.708395
403,4.17,18.015038
404,6.0,20.494953
405,5.0,22.103163
406,6.0,21.81007
407,2.83,18.329576
408,4.5,15.520707
409,6.5,26.315525
410,3.0,12.261876
411,6.0,18.686817
412,5.17,22.874971
413,4.67,14.734004
414,4.33,18.907753
415,3.83,15.147805
